City,Latitude,Longitude,Max temperature,Humidity,Cloudiness,Wind speed,Country,Date
Punta Arenas,-53.15,-70.9167,50.0,76,75,8.05,CL,1610536150
Korla,41.7597,86.1469,21.99,79,40,0.45,CN,1610536044
Coquimbo,-29.9533,-71.3436,59.0,82,90,4.61,CL,1610536156
Beringovskiy,63.05,179.3167,-17.05,85,66,10.42,RU,1610536156
Ushumun,52.7833,126.5333,-16.73,89,87,5.68,RU,1610536034
Ushuaia,-54.8,-68.3,44.6,76,75,9.22,AR,1610536156
Laas,46.6166,10.7002,35.01,39,90,8.05,IT,1610536157
Port Elizabeth,-33.918,25.5701,71.6,88,90,11.5,ZA,1610536157
Yellowknife,62.456,-114.3525,14.0,92,90,12.66,CA,1610536057
Rikitea,-23.1203,-134.9692,77.34,80,0,16.24,PF,1610536157
Kloulklubed,7.0419,134.2556,78.8,94,90,4.61,PW,1610536157
Qaanaaq,77.484,-69.3632,2.41,89,99,2.57,GL,1610536053
Rio Grande,-32.035,-52.0986,70.0,70,46,4.0,BR,1610536158
Santa Isabel,-23.3156,-46.2214,77.0,83,75,6.91,BR,1610536158
Cape Town,-33.9258,18.4232,86.0,48,0,20.71,ZA,1610536086
Hay River,60.8156,-115.7999,26.6,93,99,4.61,CA,1610536159
Spornoye,50.8448,37.2913,24.8,93,90,22.37,RU,1610536159
Tuktoyaktuk,69.4541,-133.0374,-17.45,89,97,8.3,CA,1610536160
Labuhan,-6.8844,112.2051,80.35,83,100,11.83,ID,1610536160
Hermanus,-34.4187,19.2345,75.99,77,90,8.99,ZA,1610536051
Povenets,62.8487,34.8262,-7.15,92,83,9.98,RU,1610536160
Tadine,-21.55,167.8833,78.35,87,96,14.88,NC,1610536160
Fairbanks,64.8378,-147.7164,-2.2,78,75,2.13,US,1610536033
Kaeo,-35.1,173.7833,66.99,88,22,8.63,NZ,1610536161
San Patricio,28.017,-97.5169,37.4,93,40,5.75,US,1610536161
Mataura,-46.1927,168.8643,55.99,86,59,1.01,NZ,1610536161
Honningsvåg,70.9821,25.9704,19.4,68,40,25.32,NO,1610536161
Airai,-8.9266,125.4092,64.63,100,100,1.7,TL,1610536162
Linxia Chengguanzhen,35.6003,103.2064,28.22,63,38,2.59,CN,1610536162
Saint George,37.1041,-113.5841,30.2,40,1,3.44,US,1610536162
Kundiawa,-6.0167,144.9667,65.32,80,100,1.1,PG,1610536163
Hilo,19.7297,-155.09,68.0,88,1,3.44,US,1610536063
Arraial do Cabo,-22.9661,-42.0278,82.4,69,40,17.27,BR,1610536163
Grand Gaube,-20.0064,57.6608,84.0,71,28,8.01,MU,1610536049
Oxford,51.7522,-1.256,48.2,100,75,3.44,GB,1610536164
Busselton,-33.65,115.3333,73.99,44,8,5.01,AU,1610536164
Upernavik,72.7868,-56.1549,12.09,96,100,19.91,GL,1610536020
Anadyr,64.75,177.4833,-11.2,77,75,13.42,RU,1610536101
Sfântu Gheorghe,45.8667,25.7833,35.01,92,99,1.01,RO,1610536165
Geraldton,-28.7667,114.6,77.0,65,0,26.46,AU,1610536165
Lompoc,34.6391,-120.4579,48.0,93,1,4.61,US,1610536165
Kwang Binh,17.4833,106.6,60.4,69,0,3.67,VN,1610536012
Atuona,-9.8,-139.0333,77.27,82,65,16.26,PF,1610536063
Bengkulu,-3.8004,102.2655,80.08,82,90,4.85,ID,1610536167
Mahébourg,-20.4081,57.7,84.2,70,40,13.8,MU,1610536049
Golden,39.7555,-105.2211,50.0,29,1,18.41,US,1610536168
Butaritari,3.0707,172.7902,80.56,82,100,17.74,KI,1610536168
Thompson,55.7435,-97.8558,26.6,100,90,9.22,CA,1610536052
Deputatsky,69.3,139.9,-35.37,76,95,0.94,RU,1610536169
Saint-Philippe,-21.3585,55.7679,86.0,74,75,8.05,RE,1610536169
Vaini,-21.2,-175.2,78.8,94,40,3.44,TO,1610536169
Evensk,61.95,159.2333,-14.37,75,83,4.68,RU,1610536030
Sitka,57.0531,-135.33,35.6,93,75,5.75,US,1610536170
Constitución,-35.3333,-72.4167,56.08,51,22,3.44,CL,1610536170
San Miguel de Cozumel,20.5083,-86.9458,73.99,92,8,13.8,MX,1610536171
Brooks,50.5834,-111.8851,41.0,75,98,18.41,CA,1610536171
Cidreira,-30.1811,-50.2056,71.49,78,95,11.43,BR,1610536171
Hithadhoo,-0.6,73.0833,82.18,74,12,21.34,MV,1610536171
Aden,12.7794,45.0367,76.6,58,40,12.66,YE,1610536173
Ribeira Grande,38.5167,-28.7,59.0,88,20,5.75,PT,1610536173
Blackwater,-23.5833,148.8833,77.02,71,58,14.38,AU,1610536173
Lata,40.1629,-8.3327,44.01,87,3,4.61,PT,1610536173
Cabo San Lucas,22.8909,-109.9124,55.99,58,73,1.99,MX,1610536173
Albany,42.6001,-73.9662,28.0,75,0,1.72,US,1610536174
George Town,5.4112,100.3354,86.0,62,20,6.91,MY,1610536055
Bluff,-46.6,168.3333,55.99,86,95,1.01,NZ,1610536063
Ponta do Sol,32.6667,-17.1,60.01,45,26,3.0,PT,1610536174
Kualakapuas,-3.0091,114.3876,78.8,94,75,5.75,ID,1610536175
New Norfolk,-42.7826,147.0587,66.99,78,79,0.74,AU,1610536175
Xining,36.6167,101.7667,23.7,60,6,0.89,CN,1610536175
Klaksvík,62.2266,-6.589,35.6,80,20,9.22,FO,1610536175
Nadym,65.5333,72.5167,6.13,92,100,18.1,RU,1610536176
Clyde River,70.4692,-68.5914,-13.0,84,90,5.75,CA,1610536052
Puerto Ayora,-0.7393,-90.3518,73.99,94,33,1.01,EC,1610536176
Caravelas,-17.7125,-39.2481,79.84,75,21,3.09,BR,1610536176
Angoche,-16.2325,39.9086,89.8,59,29,10.49,MZ,1610536176
